"INSEE","NOMCLAIR","CP","NOMSIMPLE","REGION","DEPARTEMENT","MEN","POP","MENarr","POParr"
"40275","Saint-Maurice-sur-Adour","40270","SAINT MAURICE SUR ADOUR                  ",72,40,"221,6885813149","563,9446366782",222,564
"40276","Saint-Michel-Escalus","40550","SAINT MICHEL ESCALUS                     ",72,40,"146,9966101695","297,9661016949",147,298
"40277","Saint-Pandelon","40180","SAINT PANDELON                           ",72,40,"287,934823296","689,4214078918",288,689
"40278","Saint-Paul-en-Born","40200","SAINT PAUL EN BORN                       ",72,40,"370,1346389229","847,1970624235",370,847
"40279","Saint-Paul-lès-Dax","40990","SAINT PAUL LES DAX                       ",72,40,"6541,6800133101","12727,9930699555",6542,12728
"40280","Saint-Perdon","40090","SAINT PERDON                             ",72,40,676,1596,676,1596
"40281","Saint-Pierre-du-Mont","40280","SAINT PIERRE DU MONT                     ",72,40,"4245,9320502118","9033,23265182",4246,9033
"40282","Saint-Sever","40500","SAINT SEVER                              ",72,40,"2104,0763335825","4539,5769782967",2104,4540
"40283","Saint-Vincent-de-Paul","40990","SAINT VINCENT DE PAUL                    ",72,40,"1215,2041193304","2853,6680935455",1215,2854
"40284","Saint-Vincent-de-Tyrosse","40230","SAINT VINCENT DE TYROSSE                 ",72,40,"3517,8655647665","7749,1643185033",3518,7749
"40285","Saint-Yaguen","40400","SAINT YAGUEN                             ",72,40,"240,5623901582","588,9630931459",241,589
"40286","Samadet","40320","SAMADET                               ",72,40,"453,2202919381","1097,7078630428",453,1098
"40287","Sanguinet","40460","SANGUINET                             ",72,40,1500,3488,1500,3488
"40288","Sarbazan","40120","SARBAZAN                              ",72,40,"470,5285592498","1149,641943734",471,1150
"40289","Sarraziet","40500","SARRAZIET                             ",72,40,84,228,84,228
"40290","Sarron","40800","SARRON                                ",72,40,"47,6666666667","121,3333333333",48,121
"40291","Saubion","40230","SAUBION                               ",72,40,"584,8112244898","1395,0918367347",585,1395
"40292","Saubrigues","40230","SAUBRIGUES                            ",72,40,"543,8518208951","1352,6314589542",544,1353
"40293","Saubusse","40180","SAUBUSSE                              ",72,40,"376,9891889929","873,9294835745",377,874
"40294","Saugnac-et-Cambran","40180","SAUGNAC ET CAMBRAN                    ",72,40,"639,8709677419","1665,3052109181",640,1665
"40295","Saugnacq-et-Muret","40410","SAUGNACQ ET MURET                     ",72,40,376,912,376,912
"40296","Seignosse","40510","SEIGNOSSE                             ",72,40,"1591,8567968884","3422,169875092",1592,3422
"40297","Le Sen","40420","LE SEN                                ",72,40,84,200,84,200
"40298","Serres-Gaston","40700","SERRES GASTON                         ",72,40,"156,2222222222","382,3333333333",156,382
"40299","Serreslous-et-Arribans","40700","SERRESLOUS ET ARRIBANS                ",72,40,"80,7960199005","218,1492537313",81,218
"40300","Seyresse","40180","SEYRESSE                              ",72,40,"343,7146457933","820,2281320068",344,820
"40301","Siest","40180","SIEST                                 ",72,40,40,120,40,120
"40302","Sindères","40110","SINDERES                              ",72,40,"68,7351351351","173,8594594595",69,174
"40303","Solférino","40210","SOLFERINO                             ",72,40,140,336,140,336
"40304","Soorts-Hossegor","40150","SOORTS HOSSEGOR                       ",72,40,"1885,8916734034","3668,9884128267",1886,3669
"40305","Sorbets","40320","SORBETS                               ",72,40,"74,824742268","185,0927835052",75,185
"40306","Sorde-l'Abbaye","40300","SORDE L ABBAYE                        ",72,40,284,664,284,664
"40307","Sore","40430","SORE                                  ",72,40,"466,1540665539","1003,028087649",466,1003
"40308","Sort-en-Chalosse","40180","SORT EN CHALOSSE                      ",72,40,"339,4762979684","914,9300225734",339,915
"40309","Souprosse","40250","SOUPROSSE                             ",72,40,"424,6991143745","990,9646002072",425,991
"40310","Soustons","40140","SOUSTONS                              ",72,40,"3355,2051316","7177,3818107404",3355,7177
"40311","Taller","40260","TALLER                                ",72,40,224,576,224,576
"40312","Tarnos","40220","TARNOS                                ",72,40,"5353,577251667","12116,937724025",5354,12117
"40313","Tartas","40400","TARTAS                                ",72,40,"1460,1103483509","3082,3209076905",1460,3082
"40314","Tercis-les-Bains","40180","TERCIS LES BAINS                      ",72,40,492,1168,492,1168
"40315","Téthieu","40990","TETHIEU                               ",72,40,292,696,292,696
"40316","Tilh","40360","TILH                                  ",72,40,"338,5977539854","803,9162242826",339,804
"40317","Tosse","40230","TOSSE                                 ",72,40,"1056,1251418643","2390,1994940304",1056,2390
"40318","Toulouzette","40250","TOULOUZETTE                           ",72,40,"118,0422535211","297,1408450704",118,297
"40319","Trensacq","40630","TRENSACQ                              ",72,40,"112,428253482","277,0553389377",112,277
"40320","Uchacq-et-Parentis","40090","UCHACQ ET PARENTIS                    ",72,40,"233,1118881119","557,0979020979",233,557
"40321","Urgons","40320","URGONS                                ",72,40,112,276,112,276
"40322","Uza","40170","UZA                                   ",72,40,76,152,76,152
"40323","Vert","40420","VERT                                  ",72,40,"108,9152542373",238,109,238
